"date","dt","kind","correction","mean"
2019-09-28,2019-09-28 00:12:25,"temperature","not_corrected",16.6470030878604
2020-07-04,2020-07-04 02:04:16,"temperature","not_corrected",16.948559806112
2020-09-01,2020-09-01 02:34:18,"temperature","not_corrected",16.8641490142
2020-09-19,2020-09-19 02:54:07,"temperature","not_corrected",14.86684210378
2019-08-30,2019-08-30 04:18:27,"temperature","not_corrected",18.2391446836479
2020-09-15,2020-09-15 04:26:58,"temperature","not_corrected",14.2075240013087
2019-06-28,2019-06-28 05:23:18,"temperature","not_corrected",11.646294422449
2020-09-11,2020-09-11 05:59:49,"temperature","not_corrected",11.7250331701664
2018-07-15,2018-07-15 06:58:27,"temperature","not_corrected",22.0010439141076
2018-09-13,2018-09-13 07:03:49,"temperature","not_corrected",8.74887692227728
2020-09-07,2020-09-07 07:33:14,"temperature","not_corrected",20.7149962360267
2019-06-21,2019-06-21 07:56:35,"temperature","not_corrected",22.4740178836615
2018-08-22,2018-08-22 08:22:38,"temperature","not_corrected",21.3265360631501
2020-06-18,2020-06-18 08:23:15,"temperature","not_corrected",25.0848993933265
2020-09-03,2020-09-03 09:07:02,"temperature","not_corrected",24.7309273759762
2019-06-17,2019-06-17 09:37:52,"temperature","not_corrected",33.4060689973211
2020-06-14,2020-06-14 09:57:56,"temperature","not_corrected",30.5468462626527
2019-08-15,2019-08-15 10:02:41,"temperature","not_corrected",36.7077606074236
2020-08-12,2020-08-12 10:22:51,"temperature","not_corrected",37.1241029783143
2019-09-01,2019-09-01 10:48:20,"temperature","not_corrected",38.4898321574888
2018-09-03,2018-09-03 10:53:57,"temperature","not_corrected",36.9755012061529
2019-07-01,2019-07-01 11:02:00,"temperature","not_corrected",39.2408611327582
2018-08-15,2018-08-15 11:13:25,"temperature","not_corrected",39.014433490564
2019-08-29,2019-08-29 11:38:04,"temperature","not_corrected",39.627280733487
2019-08-11,2019-08-11 11:43:11,"temperature","not_corrected",39.0051339643565
2018-08-31,2018-08-31 11:53:26,"temperature","not_corrected",37.0406352692306
2020-08-08,2020-08-08 11:56:24,"temperature","not_corrected",44.2101036234132
2020-08-26,2020-08-26 12:14:53,"temperature","not_corrected",42.8900376925211
2020-06-25,2020-06-25 12:32:57,"temperature","not_corrected",49.0062241580178
2020-06-06,2020-06-06 13:07:12,"temperature","not_corrected",42.1400106727926
2019-08-25,2019-08-25 13:16:19,"temperature","not_corrected",46.3254766095753
2020-08-04,2020-08-04 13:29:50,"temperature","not_corrected",48.6918299150111
2018-08-27,2018-08-27 13:45:21,"temperature","not_corrected",45.9816808173955
2019-06-06,2019-06-06 13:52:19,"temperature","not_corrected",44.4319957489634
2018-08-08,2018-08-08 14:03:45,"temperature","not_corrected",47.286601363402
2020-06-21,2020-06-21 14:07:37,"temperature","not_corrected",48.8663378111667
2019-06-23,2019-06-23 14:24:42,"temperature","not_corrected",49.1877708243978
2018-08-05,2018-08-05 15:03:14,"temperature","not_corrected",47.236049243758
2020-07-31,2020-07-31 15:03:18,"temperature","not_corrected",47.2896400622328
2020-08-18,2020-08-18 15:21:49,"temperature","not_corrected",45.8104131510522
2020-09-28,2020-09-28 15:43:29,"temperature","not_corrected",36.8366334752213
2019-07-31,2019-07-31 15:55:57,"temperature","not_corrected",44.9122752382758
2019-08-17,2019-08-17 16:32:32,"temperature","not_corrected",42.9115971075106
2020-07-27,2020-07-27 16:37:15,"temperature","not_corrected",43.9407658272049
2020-08-14,2020-08-14 16:55:25,"temperature","not_corrected",45.1616777665482
2020-06-13,2020-06-13 17:16:32,"temperature","not_corrected",32.181985471833
2019-07-27,2019-07-27 17:36:35,"temperature","not_corrected",41.0408804693008
2020-07-23,2020-07-23 18:12:11,"temperature","not_corrected",34.4515890609366
2019-06-12,2019-06-12 18:39:08,"temperature","not_corrected",36.0509228183674
2020-09-20,2020-09-20 18:48:18,"temperature","not_corrected",22.9356135075927
2020-06-09,2020-06-09 18:51:11,"temperature","not_corrected",29.9117521147884
2019-09-21,2019-09-21 19:19:00,"temperature","not_corrected",20.3622784681403
2020-07-19,2020-07-19 19:47:02,"temperature","not_corrected",30.0278041532054
2020-08-06,2020-08-06 20:02:34,"temperature","not_corrected",23.109269215946
2019-07-20,2019-07-20 20:08:14,"temperature","not_corrected",26.9784090068643
2020-09-16,2020-09-16 20:21:05,"temperature","not_corrected",20.159495524168
2018-07-22,2018-07-22 20:44:16,"temperature","not_corrected",29.2100532054769
2018-09-20,2018-09-20 20:51:22,"temperature","not_corrected",17.7030147659831
2019-09-17,2019-09-17 20:56:06,"temperature","not_corrected",16.0093791140623
2020-07-15,2020-07-15 21:21:57,"temperature","not_corrected",24.5816395160975
2018-08-07,2018-08-07 21:25:22,"temperature","not_corrected",22.4445993201503
2018-09-17,2018-09-17 21:50:17,"temperature","not_corrected",17.1389657092582
2020-09-12,2020-09-12 21:53:38,"temperature","not_corrected",16.2567753082908
2020-07-11,2020-07-11 22:56:53,"temperature","not_corrected",23.8411508244448
2020-07-29,2020-07-29 23:09:38,"temperature","not_corrected",22.6480349206426
2019-07-12,2019-07-12 23:29:21,"temperature","not_corrected",21.9584904072409
